Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description
diffuser-air-2-discovery-kit,Diffuser Air 2 Discovery Kit,"<div class=""rte""><p>Découvrez l'art de la diffusion avec notre kit découverte Air 2. Conçu pour les espaces jusqu'à 1 000 pi², ce dispositif élégant diffuse vos fragrances préférées avec une douceur et une constance dignes des plus belles maisons.</p><p>L'alliance du design épuré et de la technologie silencieuse pour une atmosphère raffinée au quotidien.</p><p><strong>Couverture :</strong> jusqu'à 1 000 pi²</p><p><em>Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Diffusers,"diffusers, discovery-kit, sale, new-arrivals",true,Title,Default Title,AZ-DIF-001,0,shopify,25,deny,manual,49.99,179.00,true,true,,,Diffuser Air 2 Discovery Kit | Diffuseur Luxe | AROMAZUR,"Kit découverte Air 2 : diffuseur élégant pour espaces jusqu'à 1 000 pi². Design épuré, technologie silencieuse. Fabriqué à Grasse. Livraison gratuite."
diffuser-mini-2-le,Diffuser Mini 2 LE,"<div class=""rte""><p>Le Mini 2 LE incarne l'essence du luxe discret. Idéal pour les bureaux, chambres et espaces jusqu'à 500 pi², il offre une diffusion précise et une finition soignée.</p><p>Une présence olfactive raffinée, sans compromis sur l'élégance.</p><p><strong>Couverture :</strong> 500 pi²</p><p><em>Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Diffusers,"diffusers, compact, sale",true,Title,Default Title,AZ-DIF-002,0,shopify,25,deny,manual,29.99,69.99,true,true,,,Diffuser Mini 2 LE | Diffuseur Compact | AROMAZUR,"Diffuseur Mini 2 LE : luxe discret pour bureaux et chambres, jusqu'à 500 pi². Finition soignée. Fabriqué à Grasse. Livraison gratuite."
diffuser-pro-2,Diffuser Pro 2,"<div class=""rte""><p>Le Diffuser Pro 2 s'adresse aux espaces généreux—jusqu'à 2 000 pi². Performance professionnelle et esthétique haut de gamme se conjuguent pour transformer halls, salons et espaces de réception en havres parfumés.</p><p>L'excellence française au service de l'ambiance.</p><p><strong>Couverture :</strong> jusqu'à 2 000 pi²</p><p><em>Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Diffusers,"diffusers, professional, sale, new-arrivals",true,Title,Default Title,AZ-DIF-003,0,shopify,25,deny,manual,79.99,669.00,true,true,,,Diffuser Pro 2 | Diffuseur Pro | AROMAZUR,"Diffuseur Pro 2 : espaces jusqu'à 2 000 pi². Performance professionnelle, esthétique haut de gamme. Fabriqué à Grasse. Livraison gratuite."
coffret-decouverte,Coffret Découverte,"<div class=""rte""><p>Un coffret précieux pour s'initier à l'univers AROMAZUR. Trois fragrances miniatures et un diffuseur reed élégant, le tout présenté dans un écrin raffiné.</p><p>Le cadeau idéal pour ceux qui aiment les belles senteurs et l'art de vivre à la française.</p><p><em>Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Coffrets,"coffrets, gift, discovery, new-arrivals, sale",true,Title,Default Title,AZ-COF-001,0,shopify,25,deny,manual,45.00,,true,true,,,Coffret Découverte | Cadeau Parfum | AROMAZUR,"Coffret Découverte AROMAZUR : trois fragrances miniatures et diffuseur reed. Écrin raffiné. Fabriqué à Grasse. Livraison gratuite."
blanc-de-provence,Blanc de Provence,"<div class=""rte""><p>Lumière du sud et douceur lavandée. Blanc de Provence évoque les draps immaculés et les matins ensoleillés des plus belles demeures provençales. Une fragrance fraîche et lumineuse, d'une élégance intemporelle.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Lavande, Bergamote</li><li><strong>Cœur :</strong> Fleurs blanches, Coton</li><li><strong>Fond :</strong> Musc, Bois blancs</li></ul><p><em>Inspiré des palaces de Provence. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, fresh, clean, floral",true,Volume,100 ml,AZ-HOT-001,120,shopify,25,deny,manual,19.00,,true,true,,,Blanc de Provence | Huile Parfumée Hotel | AROMAZUR,"Blanc de Provence : huile parfumée fraîche et lumineuse. Lavande, fleurs blanches. Inspirée des palaces de Provence. 100 ml. AROMAZUR."
spa-blanc,Spa Blanc,"<div class=""rte""><p>L'atmosphère des spas les plus exclusifs, capturée en flacon. Eucalyptus, menthe douce et notes blanches créent un cocon de sérénité. Pour transformer chaque pièce en sanctuaire de bien-être.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Eucalyptus, Menthe</li><li><strong>Cœur :</strong> Thé blanc, Bambou</li><li><strong>Fond :</strong> Musc propre, Cèdre</li></ul><p><em>Inspiré des spas cinq étoiles. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, spa, clean, wellness",true,Volume,100 ml,AZ-HOT-002,120,shopify,25,deny,manual,19.00,,true,true,,,Spa Blanc | Huile Parfumée Spa | AROMAZUR,"Spa Blanc : huile parfumée sérénité. Eucalyptus, menthe, thé blanc. Inspirée des spas d'exception. 100 ml. AROMAZUR."
lin-blanc,Lin Blanc,"<div class=""rte""><p>Le parfum du linge frais et des chambres d'hôtel parfaitement préparées. Lin Blanc respire la propreté lumineuse et la douceur du coton. Une signature discrète et raffinée, chère aux grandes maisons d'hôtellerie.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Aldéhydes, Agrumes</li><li><strong>Cœur :</strong> Lin blanc, Lys</li><li><strong>Fond :</strong> Musc, Bois doux</li></ul><p><em>Inspiré du linge de luxe. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, linen, clean, fresh",true,Volume,100 ml,AZ-HOT-003,120,shopify,25,deny,manual,19.00,,true,true,,,Lin Blanc | Huile Parfumée Linge | AROMAZUR,"Lin Blanc : parfum du linge frais et chambres d'hôtel. Propreté lumineuse, coton. 100 ml. AROMAZUR."
cote-plage,Côté Plage,"<div class=""rte""><p>L'air salin et le soleil des côtes méditerranéennes. Côté Plage évoque les terrasses face à la mer et les après-midis en bord de plage. Une fragrance marine et ensoleillée, d'une fraîcheur envoûtante.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Sel marin, Citron, Néroli</li><li><strong>Cœur :</strong> Jasmin, Notes solaires</li><li><strong>Fond :</strong> Bois flotté, Ambre</li></ul><p><em>Inspiré des hôtels de la Riviera. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, coastal, marine, summer",true,Volume,100 ml,AZ-HOT-004,120,shopify,25,deny,manual,19.00,,true,true,,,Côté Plage | Huile Parfumée Marine | AROMAZUR,"Côté Plage : fragrance marine et ensoleillée. Sel marin, jasmin, bois flotté. Inspirée de la Riviera. 100 ml. AROMAZUR."
jardin-mediterranee,Jardin Méditerranée,"<div class=""rte""><p>Un jardin ensoleillé où se mêlent fleurs d'oranger, figuier et herbes aromatiques. Jardin Méditerranée capture l'abondance et la douceur des jardins de villas de charme. Une ode envoûtante à la dolce vita.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Fleur d'oranger, Feuille de figuier</li><li><strong>Cœur :</strong> Jasmin, Romarin, Basilic</li><li><strong>Fond :</strong> Figue, Cèdre, Musc</li></ul><p><em>Inspiré des jardins de villas méditerranéennes. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, floral, green, garden",true,Volume,100 ml,AZ-HOT-005,120,shopify,25,deny,manual,19.00,,true,true,,,Jardin Méditerranée | Huile Parfumée Jardin | AROMAZUR,"Jardin Méditerranée : fleurs d'oranger, figuier, herbes. Inspiré des villas méditerranéennes. 100 ml. AROMAZUR."
bois-d-ete,Bois d'Été,"<div class=""rte""><p>Chaleur du bois et douceur des soirées d'été. Bois d'Été associe cèdre, santal et touches ambrées pour une ambiance enveloppante et sophistiquée. L'âme des terrasses ombragées et des salons feutrés.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Cèdre, Bergamote</li><li><strong>Cœur :</strong> Santal, Lavande</li><li><strong>Fond :</strong> Ambre, Vanille, Musc</li></ul><p><em>Inspiré des salons de boutiques hôtels. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, woody, warm, summer",true,Volume,100 ml,AZ-HOT-006,120,shopify,25,deny,manual,19.00,,true,true,,,Bois d'Été | Huile Parfumée Boisée | AROMAZUR,"Bois d'Été : cèdre, santal, ambre. Ambiance enveloppante. Inspirée des salons d'hôtels de charme. 100 ml. AROMAZUR."
fleur-d-oranger,Fleur d'Oranger,"<div class=""rte""><p>La délicatesse de l'oranger en fleurs. Une note lumineuse et envoûtante, chère aux palaces et aux chambres d'exception. Fleur d'Oranger distille élégance et fraîcheur dans chaque diffusion.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Néroli, Agrumes</li><li><strong>Cœur :</strong> Fleur d'oranger, Tubéreuse</li><li><strong>Fond :</strong> Musc blanc, Miel</li></ul><p><em>Signature des palaces. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, floral, orange-blossom, delicate",true,Volume,100 ml,AZ-HOT-007,120,shopify,25,deny,manual,19.00,,true,true,,,Fleur d'Oranger | Huile Parfumée Florale | AROMAZUR,"Fleur d'Oranger : délicatesse et luminosité. Néroli, fleur d'oranger. Signature palaces. 100 ml. AROMAZUR."
lavande-sauge,Lavande & Sauge,"<div class=""rte""><p>Lavande de Provence et sauge des collines. Un bouquet aromatique apaisant et raffiné, qui évoque les chambres d'hôtes de charme et les salles de bain soignées. Sérénité et art de vivre.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Lavande, Sauge</li><li><strong>Cœur :</strong> Lavandin, Thym</li><li><strong>Fond :</strong> Herbes boisées, Musc</li></ul><p><em>Inspiré des auberges de Provence. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, aromatic, herbal, calming",true,Volume,100 ml,AZ-HOT-008,120,shopify,25,deny,manual,19.00,,true,true,,,Lavande & Sauge | Huile Parfumée Aromatique | AROMAZUR,"Lavande & Sauge : lavande de Provence, sauge. Apaisant et raffiné. 100 ml. AROMAZUR."
the-vert-menthe,Thé Vert & Menthe,"<div class=""rte""><p>Fraîcheur du thé vert et éclat de la menthe. Une alliance vivifiante et délicate, parfaite pour les espaces de travail et les salons. L'élégance du thé à l'heure du goûter, en version olfactive.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Thé vert, Menthe</li><li><strong>Cœur :</strong> Thé blanc, Concombre</li><li><strong>Fond :</strong> Feuilles vertes, Musc</li></ul><p><em>Inspiré des salons de thé et lobbys. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"hotel-collection, green, tea, fresh",true,Volume,100 ml,AZ-HOT-009,120,shopify,25,deny,manual,19.00,,true,true,,,Thé Vert & Menthe | Huile Parfumée Fraîche | AROMAZUR,"Thé Vert & Menthe : thé vert, menthe. Vivifiant et délicat. 100 ml. AROMAZUR."
bleu-azur,Bleu Azur,"<div class=""rte""><p>Fraîcheur aromatique et profondeur boisée. Bleu Azur s'inspire des grandes signatures masculines—citron vif, gingembre, cèdre et notes marines. Une présence distinguée pour l'espace comme pour l'esprit.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Citron, Gingembre, Menthe</li><li><strong>Cœur :</strong> Lavande, Cèdre</li><li><strong>Fond :</strong> Santal, Patchouli, Ambre</li></ul><p><em>Inspiré des signatures masculines iconiques. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, fresh, woody, masculine",true,Volume,100 ml,AZ-DES-001,120,shopify,25,deny,manual,22.00,,true,true,,,Bleu Azur | Huile Parfumée Designer | AROMAZUR,"Bleu Azur : fraîcheur aromatique, cèdre, notes marines. Inspiré des signatures masculines. 100 ml. AROMAZUR."
sauvage-noir,Sauvage Noir,"<div class=""rte""><p>Audace et caractère. Sauvage Noir mêle épices, bergamote et fond boisé pour une ambiance intense et séduisante. L'esprit des fragrances iconiques, réinventé pour votre intérieur.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Bergamote, Poivre</li><li><strong>Cœur :</strong> Lavande, Géranium</li><li><strong>Fond :</strong> Ambroxan, Cèdre, Vanille</li></ul><p><em>Inspiré des signatures iconiques. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, spicy, woody, bold",true,Volume,100 ml,AZ-DES-002,120,shopify,25,deny,manual,22.00,,true,true,,,Sauvage Noir | Huile Parfumée Épices | AROMAZUR,"Sauvage Noir : épices, bergamote, fond boisé. Intense et séduisant. 100 ml. AROMAZUR."
oud-royal,Oud Royal,"<div class=""rte""><p>L'opulence de l'oud et des bois précieux. Oud Royal déploie une richesse orientale—bois de oud, rose, safran et musc—pour des intérieurs à l'atmosphère envoûtante et luxueuse.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Safran, Bergamote</li><li><strong>Cœur :</strong> Oud, Rose, Encens</li><li><strong>Fond :</strong> Santal, Musc, Ambre</li></ul><p><em>Inspiré des fragrances oud de luxe. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, oud, oriental, luxury",true,Volume,100 ml,AZ-DES-003,120,shopify,25,deny,manual,24.00,,true,true,,,Oud Royal | Huile Parfumée Oud | AROMAZUR,"Oud Royal : oud, rose, safran. Richesse orientale. 100 ml. AROMAZUR."
j-adore-fleurs,J'adore Fleurs,"<div class=""rte""><p>Un bouquet de fleurs solaires et généreuses. J'adore Fleurs célèbre le jasmin, l'ylang et la rose dans une composition lumineuse et féminine. La quintessence du floral luxueux pour votre maison.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Ylang-ylang, Bergamote</li><li><strong>Cœur :</strong> Jasmin, Rose, Iris</li><li><strong>Fond :</strong> Vanille, Musc</li></ul><p><em>Inspiré des floraux iconiques. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, floral, feminine, luxurious",true,Volume,100 ml,AZ-DES-004,120,shopify,25,deny,manual,22.00,,true,true,,,J'adore Fleurs | Huile Parfumée Florale | AROMAZUR,"J'adore Fleurs : jasmin, ylang, rose. Floral luxueux. 100 ml. AROMAZUR."
light-blue-sky,Light Blue Sky,"<div class=""rte""><p>Ciel bleu et brise méditerranéenne. Light Blue Sky associe pomme, cèdre et fleurs blanches pour une fraîcheur ensoleillée et légère. Parfait pour les espaces lumineux et les moments de détente.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Pomme, Cèdre, Campanule</li><li><strong>Cœur :</strong> Jasmin, Rose blanche</li><li><strong>Fond :</strong> Cèdre, Musc</li></ul><p><em>Inspiré des fragrances ensoleillées. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, fresh, fruity, unisex",true,Volume,100 ml,AZ-DES-005,120,shopify,25,deny,manual,22.00,,true,true,,,Light Blue Sky | Huile Parfumée Fraîche | AROMAZUR,"Light Blue Sky : pomme, cèdre, fleurs blanches. Fraîcheur ensoleillée. 100 ml. AROMAZUR."
black-opium-night,Black Opium Night,"<div class=""rte""><p>Nuit envoûtante et notes gourmandes. Black Opium Night mêle café, vanille blanche et fleurs pour une ambiance addictive et sensuelle. L'audace des fragrances iconiques, en diffusion.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Poivre rose, Fleur d'oranger</li><li><strong>Cœur :</strong> Café, Jasmin</li><li><strong>Fond :</strong> Vanille, Cèdre, Patchouli</li></ul><p><em>Inspiré des fragrances iconiques. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, oriental, coffee, bold",true,Volume,100 ml,AZ-DES-006,120,shopify,25,deny,manual,22.00,,true,true,,,Black Opium Night | Huile Parfumée Gourmande | AROMAZUR,"Black Opium Night : café, vanille, fleurs. Ambiance addictive. 100 ml. AROMAZUR."
la-vie-est-belle,La Vie Est Belle,"<div class=""rte""><p>Joie de vivre et douceur gourmande. La Vie Est Belle diffuse iris, praliné et patchouli dans une composition ensoleillée et positive. Une atmosphère heureuse et raffinée pour chaque pièce.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Cassis, Poire</li><li><strong>Cœur :</strong> Iris, Praliné, Fleur d'oranger</li><li><strong>Fond :</strong> Patchouli, Vanille, Tonka</li></ul><p><em>Inspiré des fragrances iconiques. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, gourmand, floral, feminine",true,Volume,100 ml,AZ-DES-007,120,shopify,25,deny,manual,22.00,,true,true,,,La Vie Est Belle | Huile Parfumée Gourmande | AROMAZUR,"La Vie Est Belle : iris, praliné, patchouli. Joie de vivre. 100 ml. AROMAZUR."
angel-etoile,Angel Étoile,"<div class=""rte""><p>Patchouli, vanille et fruits confits—la signature des anges. Angel Étoile recrée la magie des fragrances cultes dans une version diffusion, intense et enveloppante. Pour des intérieurs qui osent le caractère.</p><h3>Notes olfactives</h3><ul><li><strong>Tête :</strong> Bergamote, Melon, Noix de coco</li><li><strong>Cœur :</strong> Jasmin, Baies rouges</li><li><strong>Fond :</strong> Patchouli, Vanille, Ambre</li></ul><p><em>Inspiré des fragrances iconiques. 100 ml. Fabriqué à Grasse. Partenariat IPRA. Livraison gratuite.</em></p></div>",AROMAZUR,Fragrance Oils,"designer-collection, gourmand, patchouli, iconic",true,Volume,100 ml,AZ-DES-008,120,shopify,25,deny,manual,22.00,,true,true,,,Angel Étoile | Huile Parfumée Iconique | AROMAZUR,"Angel Étoile : patchouli, vanille, fruits confits. Intense et enveloppant. 100 ml. AROMAZUR."
